timestamp_utc,container_id,mem_used_raw,mem_used_bytes
2026-02-22T18:37:02.2064601Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,61.28MiB,64256737
2026-02-22T18:38:04.5287578Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.93MiB,62841160
2026-02-22T18:39:05.8457714Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.24MiB,63166218
2026-02-22T18:40:07.0304873Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.03MiB,62946017
2026-02-22T18:41:08.2038655Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.07MiB,62987960
2026-02-22T18:42:09.3949451Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.82MiB,63774392
2026-02-22T18:43:10.6142147Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.06MiB,62977475
2026-02-22T18:44:12.5884424Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.99MiB,62904074
2026-02-22T18:45:14.9637323Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.73MiB,62631444
2026-02-22T18:46:17.2431854Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.55MiB,63491277
2026-02-22T18:47:18.4425039Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.02MiB,62935532
2026-02-22T18:48:19.6378915Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.51MiB,62400758
2026-02-22T18:49:20.8724215Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.52MiB,62411244
2026-02-22T18:50:22.9833390Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.5MiB,63438848
2026-02-22T18:51:25.2211396Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.43MiB,63365448
2026-02-22T18:52:27.4904271Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.07MiB,62987960
2026-02-22T18:53:28.6688892Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.65MiB,62547558
2026-02-22T18:54:29.8542841Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.65MiB,62547558
2026-02-22T18:55:31.0554149Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.22MiB,63145247
2026-02-22T18:56:33.1645478Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.84MiB,63795364
2026-02-22T18:57:35.5232632Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.13MiB,63050875
2026-02-22T18:58:37.7616542Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.83MiB,62736302
2026-02-22T18:59:38.9391418Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,61.29MiB,64267223
2026-02-22T19:00:40.1303536Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.91MiB,62820188
2026-02-22T19:01:41.3192766Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.8MiB,63753421
2026-02-22T19:02:43.3941160Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.09MiB,63008932
2026-02-22T19:03:45.7654554Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.04MiB,62956503
2026-02-22T19:04:46.9971749Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.09MiB,63008932
2026-02-22T19:05:48.1825477Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.28MiB,63208161
2026-02-22T19:06:49.3620809Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.96MiB,63921193
2026-02-22T19:07:50.5382770Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.57MiB,62463672
2026-02-22T19:08:51.7372277Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.92MiB,62830674
2026-02-22T19:09:53.8190559Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.73MiB,62631444
2026-02-22T19:10:55.0536770Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.7MiB,62599987
2026-02-22T19:11:57.3587772Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.81MiB,63763907
2026-02-22T19:12:58.5387588Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.4MiB,63333990
2026-02-22T19:13:59.7205731Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,82.27MiB,86266348
2026-02-22T19:15:00.9029155Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.84MiB,62746788
2026-02-22T19:16:02.1327694Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.69MiB,62589501
2026-02-22T19:17:04.1670417Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.62MiB,63564677
2026-02-22T19:18:06.5314060Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.09MiB,63008932
2026-02-22T19:19:07.7486652Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.91MiB,62820188
2026-02-22T19:20:08.9365478Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.98MiB,62893588
2026-02-22T19:21:10.1151173Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.74MiB,62641930
2026-02-22T19:22:11.2908834Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.65MiB,63596134
2026-02-22T19:23:12.4802135Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.26MiB,63187190
2026-02-22T19:24:14.5048209Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.77MiB,62673388
2026-02-22T19:25:16.8533982Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.88MiB,62788731
2026-02-22T19:26:18.0500364Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.75MiB,62652416
2026-02-22T19:27:19.2293291Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.51MiB,63449334
2026-02-22T19:28:20.4128587Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.6MiB,63543706
2026-02-22T19:29:21.5947197Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.82MiB,62725816
2026-02-22T19:30:22.7925827Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.85MiB,62757274
2026-02-22T19:31:24.8750594Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.91MiB,62820188
2026-02-22T19:32:27.2491838Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.8MiB,63753421
2026-02-22T19:33:29.5494345Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.12MiB,63040389
2026-02-22T19:34:30.7603824Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.31MiB,63239619
2026-02-22T19:35:31.9392300Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.06MiB,62977475
2026-02-22T19:36:33.1497871Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.22MiB,63145247
2026-02-22T19:37:35.1604141Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.11MiB,63029903
2026-02-22T19:38:37.5413641Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.5MiB,62390272
2026-02-22T19:39:39.8844868Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.77MiB,62673388
2026-02-22T19:40:41.0783870Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.79MiB,62694359
2026-02-22T19:41:42.2525897Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.27MiB,63197676
2026-02-22T19:42:43.4633520Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,61.19MiB,64162365
2026-02-22T19:43:45.4344947Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.44MiB,62327357
2026-02-22T19:44:47.7721843Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.69MiB,62589501
2026-02-22T19:45:50.0832017Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.2MiB,63124275
2026-02-22T19:46:51.2612851Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.35MiB,63281562
2026-02-22T19:47:52.4474089Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,61.22MiB,64193823
2026-02-22T19:48:53.6498268Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.3MiB,63229133
2026-02-22T19:49:55.6861292Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.46MiB,62348329
2026-02-22T19:50:58.0498072Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.5MiB,62390272
2026-02-22T19:52:00.3274487Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.33MiB,63260590
2026-02-22T19:53:01.5112686Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.13MiB,63050875
2026-02-22T19:54:02.6953249Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.59MiB,62484644
2026-02-22T19:55:03.9042317Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.79MiB,62694359
2026-02-22T19:56:05.9938968Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.54MiB,63480791
2026-02-22T19:57:08.3484539Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.51MiB,63449334
2026-02-22T19:58:10.6402759Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.15MiB,63071846
2026-02-22T19:59:11.8265652Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.94MiB,62851645
2026-02-22T20:00:13.0162499Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.68MiB,62579016
2026-02-22T20:01:14.2024699Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,101.5MiB,106430464
2026-02-22T20:02:16.2271239Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.57MiB,63512248
2026-02-22T20:03:18.6151223Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,65.39MiB,68566385
2026-02-22T20:04:20.9208561Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.75MiB,62652416
2026-02-22T20:05:22.1091970Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.95MiB,62862131
2026-02-22T20:06:23.2938773Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.73MiB,62631444
2026-02-22T20:07:24.4865410Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.62MiB,63564677
2026-02-22T20:08:26.5341158Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.11MiB,63029903
2026-02-22T20:09:28.8997776Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.8MiB,62704845
2026-02-22T20:10:31.1945830Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.24MiB,63166218
2026-02-22T20:11:32.3739012Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60MiB,62914560
2026-02-22T20:12:33.5554182Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.81MiB,63763907
2026-02-22T20:13:34.7411789Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.34MiB,63271076
2026-02-22T20:14:36.8929545Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.21MiB,63134761
2026-02-22T20:15:39.3006448Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.27MiB,63197676
2026-02-22T20:16:41.5233294Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.36MiB,63292047
2026-02-22T20:17:42.7171023Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.94MiB,63900221
2026-02-22T20:18:43.9376161Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.02MiB,62935532
2026-02-22T20:19:45.1310744Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.47MiB,63407391
2026-02-22T20:20:47.0653409Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,59.74MiB,62641930
2026-02-22T20:21:49.4015018Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,60.58MiB,63522734
2026-02-22T20:22:50.6254735Z,73d04b5b4d7d98a86cc2f94af9e962cbe1047cb54604d2a826cda7ebcc0267fc,61.67MiB,64665682
